Depth ice/snow [m],Age model [ka]
217.8,6.612
218.35,6.633
218.9,6.654
219.45,6.675
220.0,6.695
220.55,6.715
221.1,6.735
221.65,6.755
222.2,6.775
222.75,6.797
223.3,6.818
223.85,6.838
224.4,6.858
224.95,6.877
225.5,6.895
226.05,6.913
226.6,6.933
227.15,6.953
227.7,6.974
228.25,6.994
228.8,7.013
229.35,7.034
229.9,7.056
230.45,7.076
231.0,7.097
231.55,7.118
232.1,7.139
232.65,7.16
233.2,7.183
233.75,7.206
234.3,7.228
234.85,7.249
235.4,7.27
235.95,7.292
236.5,7.311
237.05,7.33
237.6,7.349
238.15,7.371
238.7,7.392
239.25,7.414
239.8,7.436
240.35,7.457
240.9,7.478
241.45,7.498
242.0,7.519
242.55,7.539
243.1,7.557
243.65,7.576
244.2,7.595
244.75,7.614
245.3,7.633
245.85,7.655
246.4,7.676
246.95,7.695
247.5,7.714
248.05,7.733
248.6,7.753
249.15,7.773
249.7,7.792
250.25,7.812
250.8,7.833
251.35,7.854
251.9,7.874
252.45,7.894
253.0,7.913
253.55,7.933
254.1,7.953
254.65,7.974
255.2,7.995
255.75,8.016
256.3,8.038
256.85,8.06
257.4,8.083
257.95,8.104
258.5,8.124
259.05,8.145
259.6,8.168
260.15,8.191
260.7,8.213
261.25,8.235
261.8,8.256
262.35,8.277
262.9,8.298
263.45,8.319
264.0,8.34
264.55,8.361
265.1,8.383
265.65,8.405
266.2,8.427
266.75,8.448
267.3,8.468
267.85,8.488
268.4,8.508
268.95,8.529
269.5,8.55
270.05,8.57
270.6,8.589
271.15,8.609
271.7,8.629
272.25,8.648
272.8,8.668
273.35,8.688
273.9,8.709
274.45,8.73
275.0,8.75
275.55,8.77
276.1,8.79
276.65,8.811
277.2,8.833
277.75,8.852
278.3,8.872
278.85,8.891
279.4,8.911
279.95,8.931
280.5,8.95
281.05,8.969
281.6,8.988
282.15,9.008
282.7,9.027
283.25,9.047
283.8,9.066
284.35,9.086
284.9,9.105
285.45,9.126
286.0,9.147
286.55,9.168
287.1,9.187
287.65,9.207
288.2,9.224
288.75,9.242
289.3,9.262
289.85,9.281
290.4,9.301
290.95,9.319
291.5,9.338
292.05,9.357
292.6,9.376
293.15,9.394
293.7,9.412
294.25,9.43
294.8,9.447
295.35,9.464
295.9,9.484
296.45,9.504
297.0,9.523
297.55,9.542
298.1,9.561
298.65,9.578
299.2,9.596
299.75,9.614
300.3,9.633
300.85,9.652
301.4,9.669
301.95,9.686
302.5,9.704
303.05,9.721
303.6,9.738
304.15,9.755
304.7,9.772
305.25,9.789
305.8,9.809
306.35,9.828
306.9,9.847
307.45,9.866
308.0,9.884
308.55,9.902
309.1,9.92
309.65,9.939
310.2,9.957
310.75,9.976
311.3,9.994
311.85,10.012
312.4,10.029
312.95,10.047
313.5,10.065
314.05,10.083
314.6,10.101
315.15,10.117
315.7,10.134
316.25,10.151
316.8,10.169
317.35,10.187
317.9,10.205
318.45,10.222
319.0,10.241
319.55,10.259
320.1,10.278
320.65,10.295
321.2,10.313
321.75,10.331
322.3,10.35
322.85,10.369
323.4,10.388
323.95,10.407
324.5,10.426
325.05,10.445
325.6,10.462
326.15,10.479
326.7,10.495
327.25,10.511
327.8,10.527
328.35,10.543
328.9,10.562
329.45,10.58
330.0,10.599
330.55,10.618
331.1,10.637
331.65,10.655
332.2,10.673
332.75,10.691
333.3,10.708
333.85,10.727
334.4,10.746
334.95,10.766
335.5,10.784
336.05,10.803
336.6,10.821
337.15,10.838
337.7,10.856
338.25,10.875
338.8,10.895
339.35,10.913
339.9,10.931
340.45,10.949
341.0,10.969
341.55,10.989
342.1,11.006
342.65,11.024
343.2,11.042
343.75,11.06
344.3,11.079
344.85,11.098
345.4,11.117
345.95,11.136
346.5,11.157
347.05,11.175
347.6,11.192
348.15,11.209
348.7,11.228
349.25,11.246
349.8,11.265
350.35,11.283
350.9,11.302
351.45,11.319
352.0,11.336
352.55,11.354
353.1,11.373
353.65,11.392
354.2,11.411
354.75,11.43
355.3,11.448
355.85,11.465
356.4,11.482
356.95,11.499
357.5,11.516
358.05,11.535
358.6,11.554
359.15,11.573
359.7,11.593
360.25,11.612
360.8,11.631
361.35,11.649
361.9,11.667
362.45,11.686
363.0,11.704
363.55,11.723
364.1,11.742
364.65,11.76
365.2,11.779
365.75,11.798
366.3,11.82
366.85,11.841
367.4,11.863
367.95,11.884
368.5,11.905
369.05,11.927
369.6,11.949
370.15,11.972
370.7,11.993
371.25,12.014
371.8,12.037
372.35,12.059
372.9,12.082
373.45,12.106
374.0,12.131
374.55,12.156
375.1,12.181
375.65,12.205
376.2,12.227
376.75,12.25
377.3,12.273
377.85,12.297
378.4,12.324
378.95,12.35
379.5,12.376
380.05,12.402
380.6,12.427
381.15,12.452
381.7,12.477
382.25,12.503
382.8,12.53
383.35,12.559
383.9,12.588
384.45,12.617
385.0,12.646
385.55,12.673
386.1,12.7
386.65,12.727
387.2,12.754
387.75,12.784
388.3,12.813
388.85,12.841
389.4,12.867
389.95,12.894
390.5,12.922
391.05,12.95
391.6,12.978
392.15,13.005
392.7,13.032
393.25,13.059
393.8,13.087
394.35,13.115
394.9,13.143
395.45,13.17
396.0,13.196
396.55,13.222
397.1,13.249
397.65,13.275
398.2,13.3
398.75,13.327
399.3,13.354
399.85,13.383
400.4,13.412
400.95,13.44
401.5,13.468
402.05,13.495
402.6,13.52
403.15,13.546
403.7,13.572
404.25,13.6
404.8,13.629
405.35,13.658
405.9,13.687
406.45,13.715
407.0,13.742
407.55,13.77
408.1,13.796
408.65,13.822
409.2,13.848
409.75,13.875
410.3,13.903
410.85,13.93
411.4,13.956
411.95,13.979
412.5,14.002
413.05,14.028
413.6,14.053
414.15,14.08
414.7,14.106
415.25,14.131
415.8,14.156
416.35,14.18
416.9,14.205
417.45,14.23
418.0,14.252
418.55,14.273
419.1,14.295
419.65,14.318
420.2,14.341
420.75,14.364
421.3,14.39
421.85,14.417
422.4,14.442
422.95,14.467
423.5,14.493
424.05,14.52
424.6,14.547
425.15,14.574
425.7,14.601
426.25,14.631
426.8,14.66
427.35,14.688
427.9,14.716
428.45,14.744
429.0,14.77
429.55,14.796
430.1,14.823
430.65,14.85
431.2,14.876
431.75,14.904
432.3,14.933
432.85,14.959
433.4,14.984
433.95,15.014
434.5,15.042
435.05,15.07
435.6,15.097
436.15,15.125
436.7,15.153
437.25,15.182
437.8,15.211
438.35,15.242
438.9,15.273
439.45,15.304
440.0,15.335
440.55,15.366
441.1,15.397
441.65,15.427
442.2,15.457
442.75,15.487
443.3,15.518
443.85,15.549
444.4,15.581
444.95,15.612
445.5,15.642
446.05,15.672
446.6,15.703
447.15,15.734
447.7,15.765
448.25,15.797
448.8,15.83
449.35,15.862
449.9,15.894
450.45,15.927
451.0,15.96
451.55,15.994
452.1,16.029
452.65,16.063
453.2,16.096
453.75,16.129
454.3,16.162
454.85,16.196
455.4,16.231
455.95,16.266
456.5,16.299
457.05,16.334
457.6,16.369
458.15,16.404
458.7,16.44
459.25,16.478
459.8,16.516
460.35,16.553
460.9,16.589
461.45,16.626
462.0,16.665
462.55,16.705
463.1,16.744
463.65,16.784
464.2,16.825
464.75,16.867
465.3,16.907
465.85,16.947
466.4,16.986
466.95,17.025
467.5,17.066
468.05,17.105
468.6,17.148
469.15,17.19
469.7,17.233
470.25,17.275
470.8,17.318
471.35,17.361
471.9,17.407
472.45,17.453
473.0,17.499
473.55,17.545
474.1,17.586
474.65,17.63
475.2,17.676
475.75,17.72
476.3,17.764
476.85,17.81
477.4,17.857
477.95,17.903
478.5,17.949
